# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 8.000000 3.500000 -500.000000 271 13 41
-1000.000000 8.000000 3.500000 -400.000000 271 7 35
-1000.000000 8.000000 3.500000 -300.000000 271 7 19
-1000.000000 8.000000 3.500000 -200.000000 271 7 17
-1000.000000 8.000000 3.500000 -100.000000 271 1 7
-1000.000000 8.000000 4.000000 -900.000000 271 39 159
-1000.000000 8.000000 4.000000 -800.000000 271 31 109
-1000.000000 8.000000 4.000000 -700.000000 271 19 81
-1000.000000 8.000000 4.000000 -600.000000 271 17 55
-1000.000000 8.000000 4.000000 -500.000000 271 9 37
-1000.000000 8.000000 4.000000 -400.000000 271 7 31
-1000.000000 8.000000 4.000000 -300.000000 271 7 19
-1000.000000 8.000000 4.000000 -200.000000 271 5 13
-1000.000000 8.000000 4.000000 -100.000000 271 1 7
-1000.000000 8.000000 5.000000 -900.000000 271 37 141
-1000.000000 8.000000 5.000000 -800.000000 271 23 90
-1000.000000 8.000000 5.000000 -700.000000 271 19 64
-1000.000000 8.000000 5.000000 -600.000000 271 13 47
-1000.000000 8.000000 5.000000 -500.000000 271 7 35
-1000.000000 8.000000 5.000000 -400.000000 271 7 20
-1000.000000 8.000000 5.000000 -300.000000 271 7 19
-1000.000000 8.000000 5.000000 -200.000000 271 1 9
-1000.000000 8.000000 5.000000 -100.000000 271 1 7
-1000.000000 8.000000 6.000000 -900.000000 271 35 124
-1000.000000 8.000000 6.000000 -800.000000 271 19 82
-1000.000000 8.000000 6.000000 -700.000000 271 17 55
-1000.000000 8.000000 6.000000 -600.000000 271 9 37
-1000.000000 8.000000 6.000000 -500.000000 271 7 31
-1000.000000 8.000000 6.000000 -400.000000 271 7 19
-1000.000000 8.000000 6.000000 -300.000000 271 5 13
-1000.000000 8.000000 6.000000 -200.000000 271 1 7
-1000.000000 8.000000 6.000000 -100.000000 271 1 7
-1000.000000 8.000000 7.000000 -900.000000 271 31 115
-1000.000000 8.000000 7.000000 -800.000000 271 19 65
-1000.000000 8.000000 7.000000 -700.000000 271 13 47
-1000.000000 8.000000 7.000000 -600.000000 271 7 35
